system:index,Date,ElevationBin,MeanBackscatter,.geo
1_1_1_1_1_1_2_2_11,2020-02-01,1233-1283,-6.080600230347904,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_2_12,2020-02-01,1283-1333,-5.750726191698278,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_2_13,2020-02-01,1333-1383,-3.407504881517535,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_2_14,2020-02-01,1383-1433,-0.6768118124594957,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_3_0,2020-02-13,683-733,-22.388523365257893,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_3_1,2020-02-13,733-783,-21.349379447568403,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_3_2,2020-02-13,783-833,-21.580385767705373,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_3_3,2020-02-13,833-883,-20.201007322662523,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_3_4,2020-02-13,883-933,-19.50154144903542,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_3_5,2020-02-13,933-983,-17.185160596190507,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_3_6,2020-02-13,983-1033,-15.071709396768158,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_3_7,2020-02-13,1033-1083,-11.873834408659526,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_3_8,2020-02-13,1083-1133,-11.964930151380582,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_3_9,2020-02-13,1133-1183,-9.935986161253345,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_3_10,2020-02-13,1183-1233,-8.538232834669236,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_3_11,2020-02-13,1233-1283,-7.79970739825666,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_3_12,2020-02-13,1283-1333,-7.396650886506234,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_3_13,2020-02-13,1333-1383,-5.744282462716247,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_3_14,2020-02-13,1383-1433,-0.9883135714935882,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_4_0,2020-02-25,683-733,-18.870391352954538,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_4_1,2020-02-25,733-783,-18.951907892718804,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_4_2,2020-02-25,783-833,-20.216346190734722,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_4_3,2020-02-25,833-883,-17.617014831542605,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_4_4,2020-02-25,883-933,-15.740237489562228,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_4_5,2020-02-25,933-983,-15.365008135714662,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_4_6,2020-02-25,983-1033,-12.35667436473896,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_4_7,2020-02-25,1033-1083,-10.189113742127939,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_4_8,2020-02-25,1083-1133,-10.137828159831015,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_4_9,2020-02-25,1133-1183,-8.977663840779824,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_4_10,2020-02-25,1183-1233,-5.660725340295591,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_4_11,2020-02-25,1233-1283,-5.97497797938612,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_4_12,2020-02-25,1283-1333,-5.109252292059929,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_4_13,2020-02-25,1333-1383,-4.101289780336229,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_4_14,2020-02-25,1383-1433,-0.8785242449571122,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_5_0,2020-03-08,683-733,-17.690588569169506,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_5_1,2020-03-08,733-783,-18.571965954391793,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_5_2,2020-03-08,783-833,-18.04270222431928,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_5_3,2020-03-08,833-883,-16.78084147537114,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_5_4,2020-03-08,883-933,-15.61656280282331,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_5_5,2020-03-08,933-983,-14.430992225707474,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_5_6,2020-03-08,983-1033,-12.290701972650515,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_5_7,2020-03-08,1033-1083,-9.43285522696907,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_5_8,2020-03-08,1083-1133,-9.707192191553707,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_5_9,2020-03-08,1133-1183,-7.233356003131415,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_5_10,2020-03-08,1183-1233,-5.792847431920898,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_5_11,2020-03-08,1233-1283,-5.422162445932649,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_5_12,2020-03-08,1283-1333,-5.229066091017942,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_5_13,2020-03-08,1333-1383,-3.489514954056499,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_5_14,2020-03-08,1383-1433,-1.1007885792696437,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_6_0,2020-03-20,683-733,-17.50728243762072,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_6_1,2020-03-20,733-783,-19.489049196452758,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_6_2,2020-03-20,783-833,-16.764685539033035,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_6_3,2020-03-20,833-883,-16.049379684053626,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_6_4,2020-03-20,883-933,-13.539180727076328,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_6_5,2020-03-20,933-983,-13.686508785162522,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_6_6,2020-03-20,983-1033,-10.459788772701842,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_6_7,2020-03-20,1033-1083,-8.479197510923704,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_6_8,2020-03-20,1083-1133,-8.545250062951292,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_6_9,2020-03-20,1133-1183,-7.169180799655199,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_6_10,2020-03-20,1183-1233,-5.148228388737498,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_6_11,2020-03-20,1233-1283,-5.214205557136235,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_6_12,2020-03-20,1283-1333,-4.776151257783557,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_6_13,2020-03-20,1333-1383,-3.3648455685275063,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_6_14,2020-03-20,1383-1433,-0.9092258706240806,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_7_0,2020-04-01,683-733,-25.422488925118998,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_7_1,2020-04-01,733-783,-24.88315345410394,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_7_2,2020-04-01,783-833,-25.719585741374992,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_7_3,2020-04-01,833-883,-22.252953677350323,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_7_4,2020-04-01,883-933,-17.55641117998853,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_7_5,2020-04-01,933-983,-14.921955683473847,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_7_6,2020-04-01,983-1033,-9.43117841936382,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_7_7,2020-04-01,1033-1083,-6.450254629236549,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_7_8,2020-04-01,1083-1133,-6.241639781384812,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_7_9,2020-04-01,1133-1183,-5.419126999001934,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_7_10,2020-04-01,1183-1233,-2.8006313845883635,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_7_11,2020-04-01,1233-1283,-4.349518356543837,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_7_12,2020-04-01,1283-1333,-4.323669454162161,"{""type"":""MultiPoint"",""coordinates"":[]}"
