system:index,Date,ElevationBin,MeanBackscatter,.geo
1_1_1_1_1_1_2_3_0,2020-02-13,633-683,-23.204654552866756,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_3_1,2020-02-13,683-733,-23.084114049180464,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_3_2,2020-02-13,733-783,-22.94403682324696,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_3_3,2020-02-13,783-833,-23.009892275075096,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_3_4,2020-02-13,833-883,-23.051789920560925,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_3_5,2020-02-13,883-933,-22.22862833719541,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_3_6,2020-02-13,933-983,-21.341722341090207,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_3_7,2020-02-13,983-1033,-19.66520620429643,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_3_8,2020-02-13,1033-1083,-17.77170390265693,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_3_9,2020-02-13,1083-1133,-15.859668631943968,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_3_10,2020-02-13,1133-1183,-14.235429714657117,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_3_11,2020-02-13,1183-1233,-12.64147211082614,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_3_12,2020-02-13,1233-1283,-11.20346382449501,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_3_13,2020-02-13,1283-1333,-9.033215242317926,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_3_14,2020-02-13,1333-1383,-7.647327966455793,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_3_15,2020-02-13,1383-1433,-4.96468307383469,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_4_0,2020-02-25,633-683,-21.218600754538613,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_4_1,2020-02-25,683-733,-20.76843942052416,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_4_2,2020-02-25,733-783,-20.66939962153567,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_4_3,2020-02-25,783-833,-20.707169632968025,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_4_4,2020-02-25,833-883,-20.657452815292036,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_4_5,2020-02-25,883-933,-19.826281511186505,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_4_6,2020-02-25,933-983,-18.73895990869166,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_4_7,2020-02-25,983-1033,-17.13150393616647,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_4_8,2020-02-25,1033-1083,-15.17129798247657,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_4_9,2020-02-25,1083-1133,-13.592348217290652,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_4_10,2020-02-25,1133-1183,-12.04087655848832,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_4_11,2020-02-25,1183-1233,-10.288713346365679,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_4_12,2020-02-25,1233-1283,-8.451990500385763,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_4_13,2020-02-25,1283-1333,-7.003092740067775,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_4_14,2020-02-25,1333-1383,-5.668333060565168,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_4_15,2020-02-25,1383-1433,-4.516166435584327,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_5_0,2020-03-08,633-683,-19.46854175531556,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_5_1,2020-03-08,683-733,-18.98647203570197,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_5_2,2020-03-08,733-783,-19.248435245330626,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_5_3,2020-03-08,783-833,-19.259639567617594,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_5_4,2020-03-08,833-883,-18.776006594083437,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_5_5,2020-03-08,883-933,-18.296034735222335,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_5_6,2020-03-08,933-983,-17.306622503919098,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_5_7,2020-03-08,983-1033,-15.857264880571634,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_5_8,2020-03-08,1033-1083,-14.081739997676014,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_5_9,2020-03-08,1083-1133,-12.100691412748263,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_5_10,2020-03-08,1133-1183,-10.768087571973421,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_5_11,2020-03-08,1183-1233,-9.253325108404347,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_5_12,2020-03-08,1233-1283,-7.8821130999534486,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_5_13,2020-03-08,1283-1333,-6.279030738913994,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_5_14,2020-03-08,1333-1383,-5.057600089224459,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_5_15,2020-03-08,1383-1433,-4.228791401355515,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_6_0,2020-03-20,633-683,-22.832890228012737,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_6_1,2020-03-20,683-733,-19.826286754048336,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_6_2,2020-03-20,733-783,-19.104545362836806,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_6_3,2020-03-20,783-833,-18.583831960752445,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_6_4,2020-03-20,833-883,-17.85785402091439,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_6_5,2020-03-20,883-933,-17.42923957076553,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_6_6,2020-03-20,933-983,-16.34776906796821,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_6_7,2020-03-20,983-1033,-15.015696465720648,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_6_8,2020-03-20,1033-1083,-13.140787168240779,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_6_9,2020-03-20,1083-1133,-11.231703648403473,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_6_10,2020-03-20,1133-1183,-10.023730438203733,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_6_11,2020-03-20,1183-1233,-8.648314338246564,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_6_12,2020-03-20,1233-1283,-7.731318614110245,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_6_13,2020-03-20,1283-1333,-6.113224328038083,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_6_14,2020-03-20,1333-1383,-4.867630205417408,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_6_15,2020-03-20,1383-1433,-4.683797373841536,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_7_0,2020-04-01,633-683,-25.897491570528317,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_7_1,2020-04-01,683-733,-26.10000813385269,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_7_2,2020-04-01,733-783,-25.92648140082227,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_7_3,2020-04-01,783-833,-25.650655095253303,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_7_4,2020-04-01,833-883,-24.842655728611323,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_7_5,2020-04-01,883-933,-22.877037397552737,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_7_6,2020-04-01,933-983,-19.624403699149436,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_7_7,2020-04-01,983-1033,-16.04956517655895,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_7_8,2020-04-01,1033-1083,-12.33195684117239,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_7_9,2020-04-01,1083-1133,-9.679610173695716,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_7_10,2020-04-01,1133-1183,-8.226708419950075,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_7_11,2020-04-01,1183-1233,-7.017191854319575,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_7_12,2020-04-01,1233-1283,-6.112881950604808,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_7_13,2020-04-01,1283-1333,-5.42201076364691,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_7_14,2020-04-01,1333-1383,-3.853071496840075,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_7_15,2020-04-01,1383-1433,-3.1085367756506086,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_8_0,2020-04-13,633-683,-25.955286075095586,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_8_1,2020-04-13,683-733,-26.283602012720344,"{""type"":""MultiPoint"",""coordinates"":[]}"
